LookupVal,University,Location
Aarhus,Aarhus University,"Aarhus, Denmark"
abo.fi,Åbo Akademi,"Turku, Finland"
adelaide,Adelaide University,"Adelaide, Australia"
Aditya Instutute of Technology and Management,Aditya Instutute of Technology and Management,"Andhra Pradesh,  India"
Ain Shams,Ain Shams University,"Cairo, Egypt"
Air University,Air University,"Maxwell AFB, AL"
Alagappa University,Alagappa University,"Karaikudi, India"
Alcalá University,Alcalá University,"Alcalá de Henares, Spain"
University of Alcal,Alcalá University,"Alcalá de Henares, Spain"
Al-Jouf,Al-Jouf University,"Sakaka, Saudi Arabia"
American University of Beirut,American University of Beirut,"Beirut, Lebanon"
aub.edu.lb,American University of Beirut,"Beirut, Lebanon"
Amirkabir,Amirkabir University of Technology,"Tehran, Iran"
Apollo Hospitals,Apollo Hospitals,"Karaikudi, India"
csd.auth.gr ,Aristotle University of Thessaloniki,"Thessaloniki, Greece"
Arris Pharmaceutical Corporation,Arris Pharmaceutical Corporation,"San Francisco, CA, USA"
Artificial Intelligence Research Institute - CSIC,Artificial Intelligence Research Institute - CSIC,"Barcelona, Spain"
iiia.csic.es,Artificial Intelligence Research Institute - CSIC,"Barcelona, Spain"
AT&T,AT&T Labs - Research,"Florham Park, NJ, USA"
Auckland Institute of Studies,Auckland Institute of Studies,"Auckland, NZ"
ais.ac.nz,Auckland Institute of Studies,"Auckland, NZ"
Queretaro,Autonomous University of Queretaro,"Queretaro, Mexico"
Baden-Wuerttemberg,Baden-Wuerttemberg Cooperative State University (DHBW),"Stuttgart, Germany"
dhbw-stuttgart.de,Baden-Wuerttemberg Cooperative State University (DHBW),"Stuttgart, Germany"
Bahcesehir,Bahcesehir University,"Istanbul, Turkey"
Bahrain University,Bahrain University,"Zallaq, Bahrain"
Baskent,Baskent University,"Ankara, Turkey"
Ben-Gurion,Ben-Gurion University of the Negev,"Beersheba, Israel"
amisw.com,Bertin IT,"Montigny, France"
Beuth University of Applied Sciences,Beuth University of Applied Sciences,"Berlin, Germany"
Bilkent,Bilkent University,"Ankara, Turkey"
biomerieux,bioMérieux,"Marcy l'Etoile, France"
Bogazici,Bogazici University,"Istanbul, Turkey"
boun.edu.tr,Bo?aziçi University,"Istanbul, Turkey"
Bournemouth,Bournemouth University,"Dorset, UK"
bme.hu,Budapest University of Technology and Economics,"Budapest, Hungary"
dot.ca.gov,California Department of Transportation,"Los Angeles, CA, USA"
California Department of Transportation,California Department of Transportation,"Los Angeles, CA, USA"
California Space Institute,California Space Institute,"La Jolla, CA, USA"
cud.ac.ae,Canadian University of Dubai,"Dubai, United Arab Emirates"
Canadian University of Dubai,Canadian University of Dubai,"Dubai, United Arab Emirates"
Carleton,Carleton University,"Ottawa, Canada"
Carlos III,Carlos III University of Madrid,"Madrid, Spain"
Carnegie-Mellon,Carnegie-Mellon University,"Pittsburgh, PA, USA"
Carnegie Mellon,Carnegie-Mellon University,"Pittsburgh, PA, USA"
cmu.edu,Carnegie-Mellon University,"Pittsburgh, PA, USA"
Celal Bayar,Celal Bayar University,"Manisa, Turkey"
cwi.nl,Centrum Wiskunde & Informatica (CWI),"Amsterdam, Netherlands"
uch.ceu.es,CEU Cardinal Herrera University,"Alfara del Patriarca, Spain"
CFD Research,CFD Research Corporation,"Huntsville, AL, USA"
Chung-Hua,Chung-Hua University,"Hsin Chu, Taiwan"
columbia.ed,Columbia University,"New York, NY, USA"
Computer Vision Center,Computer Vision Center,"Barcelona, Spain"
coventry,Coventry University,"Coventry, UK"
cu.edu.tr,Cukurova University,"Adana, Turkey"
Cukurova University,Cukurova University,"Adana, Turkey"
Czech Institute,"Czech Institute of Informatics, Robotics and Cybernetics","Prague, Czechia"
Deakin,Deakin University,"Victoria, Australia"
DFKI,Deutsches Forschungszentrum für Künstliche Intelligenz GmbH,"Kaiserslautern, Germany"
Dharmsinh Desai,Dharmsinh Desai University,"Gujarat, INDIA"
Dibrugarh,Dibrugarh University,"Dibrugarh, India"
dibru.ac.in,Dibrugarh University,"Dibrugarh, India"
Dresden Technical,Dresden Technical University,"Dresden, Germany"
DuPont Pharmaceuticals Research Laboratories,DuPont Pharmaceuticals Research Laboratories,"Berkeley, CA, USA"
epfl.ch,École polytechnique fédérale de Lausanne,"Lausanne, Switzerland"
EDF R&D,EDF R&D,"Clamart, France"
elergone.pt,Elergone Energia,"Leça da Palmeira, Portugal"
ufc.br,Federal University of Ceará,"Fortaleza, Brazil"
Federal University of Espirito Santo,Federal University of Espirito Santo,"Vitória, Brazil"
Federal University of Sao Carlos,Federal University of Sao Carlos,"Sao Paulo, Brazil"
UFSCar,Federal University of Sao Carlos,"Sao Paulo, Brazil"
fordham,Fordham University,"The Bronx, NY, USA"
Fulda,Fulda University,"Fulda, Germany"
Gazi,Gazi University,"Ankara, Turkey"
gmu,George Mason University,"Fairfax, VA, USA"
Google Inc.,Google Inc.,"Mountain View, CA, USA"
"Google, Inc.","Google, Inc.","Mountain View, CA"
Youtube,"Google, Inc.","Mountain View, CA, USA"
Veli University,Haci Bektas Veli Nevsehir University,"Nevsehir, Turkey"
Halmstad,Halmstad University,"Halmstad, Sweden"
harvard,Harvard University,"Boston, MA, USA"
Hewlett-Packard,Hewlett-Packard Labs,"Palo Alto, CA, USA"
Hokkaido,Hokkaido University,"Hokkaido, Japan"
Home Office Forensic Science Service,Home Office Forensic Science Service,"Aldermaston, UK"
Hungarian Institute of Cardiology,Hungarian Institute of Cardiology,"Budapest, Hungary"
IBM India,IBM India Research Laboratory,"New Delhi, India"
shourya,IBM India Research Laboratory,"New Delhi, India"
icrf.ac.uk,Imperial Cancer Research Fund,"London, UK"
Indian Institute of Information Technology & Management,Indian Institute of Information Technology & Management,"Gwalior, India"
Indian Institute of Technology,Indian Institute of Technology,"Guwahati, India"
Indian Institute of Technology Delhi,Indian Institute of Technology Delhi,"Delhi, India"
Bioengineering of Catalunya,Institute for Bioengineering of Catalonia,"Barcelona, Spain"
Global Environmental Strategies,Institute for Global Environmental Strategies,"Kamiyamaguchi, Japan"
Institute of Bioengineering of Catalonia,Institute of Bioengineering of Catalonia (IBEC),"Barcelona, Spain"
ibecbarcelona.eu,Institute of Bioengineering of Catalonia (IBEC),"Barcelona, Spain"
Institute of Computer Science (ICS) of the Academy of Sciences of the Czech Republic,Institute of Computer Science (ICS) of the Academy of Sciences of the Czech Republic,"Prague, Czech Republic"
AS of CR,Institute of Computer Science (ICS) of the Academy of Sciences of the Czech Republic,"Prague, Czech Republic"
Institute of Innovative Technologies EMAG,Institute of Innovative Technologies EMAG,"Katowice, Poland"
jcu.edu.au,Institute of Pharmaceutical and Food Analysis and Technologies,"Genoa, Italy"
iscte.pt,Instituto Universitário de Lisboa,"Lisboa, Portugal"
Intelnics,Intelnics,"Salamanca, Spain"
Iowa State University,Iowa State University,"Ames, IA, USA"
iastate.edu,Iowa State University,"Ames, IA, USA"
Iran University,Iran University,"Tehran, Iran"
Istanbul University,Istanbul University,"Istanbul, Turkey "
ENEA,"Italian National Agency for New Technologies, Energy and Sustainable Economic Development","Rome, Italy"
Italian National Agency for,"Italian National Agency for New Technologies, Energy and Sustainable Economic Development","Rome, Italy"
Johannes Gutenberg University,Johannes Gutenberg University,"Mainz, Germany"
Johns-Hopkins,Johns-Hopkins University,"Baltimore, MD, USA"
jhu.edu,Johns-Hopkins University,"Baltimore, MD, USA"
just.edu.jo,Jordan University of Science and Technology,"Irbid, Jordan"
Jordan,Jordan University of Science and Technology,"Irbid, Jordan"
Jozef Stefan,Jozef Stefan Institute,"Ljubljana, Slovenia"
ijs.si,Jozef Stefan Institute,"Ljubljana, Slovenia"
Kansas State,Kansas State University,"Manhattan, KS, USA"
Karadeniz Technical,Karadeniz Technical University,"Trabzon, Turkey"
Karlsruhe,Karlsruhe Institute of Technology,"Karlsruhe, Germany"
ku.ac.ae,Khalifa University,"Abu Dhabi, United Arab Emirates"
Kharazmi,Kharazmi University,"Tehran, Iran"
kingston,Kingston University London,"London, UK"
kyoto-u.ac.jp,Kyoto University,"Kyoto, Japan"
Kyoto University,Kyoto University,"Kyoto, Japan"
La Salle,La Salle University,"Philadelphia, PA, USA"
Laboratoire d'Informatique de Grenoble,Laboratoire d'Informatique de Grenoble,"Grenoble, France"
lancaster,Lancaster University,"Lancaster, UK"
Lebanese,Lebanese University,"Beirut, Lebanon"
Leibniz Health Technologies and German Center for Lung Research,Leibniz Health Technologies and German Center for Lung Research,"Borstel, Germany"
Leibniz-institute for innovative microelectronics,Leibniz-institute for innovative microelectronics,"Frankfurt, Germany"
Lobachevsky,Lobachevsky State University of Nizhny Novgorod,"Nizhny Novgorod, Russia"
London South Bank,London South Bank University,"London, UK"
latech.edu,Louisiana Tech University,"Ruston, Louisiana"
Lovely Professional University,Lovely Professional University,"Phagwara, India"
Ludwig-Maximilians,Ludwig Maximilian University of Munich,"Munich, Germany"
mahidol,Mahidol University International College,"Salaya, Thailand"
manukau,Manukau Institute of Technology,"Auckland, NZ"
mit.edu,Massachusetts Institute of Technology,"Boston, MA, USA"
mcgill,McGill University,"Montreal, Canada"
Medical College of Ohio,Medical College of Ohio,"Toledo, OH, USA"
mersin.edu.tr,Mersin University,"Mersin, Turkey"
Mersin University,Mersin University,"Mersin, Turkey"
Microsoft Research,Microsoft Research,"Redmond, WA, USA"
Mohammad Ali Jinnah,Mohammad Ali Jinnah University,"Islamabad, Pakistan"
MAJU,Mohammad Ali Jinnah University,"Islamabad, Pakistan"
nku.edu.tr,Namik Kemal University,"Tekirda?, Turkey"
Nanyang Technological University,Nanyang Technological University,"Singapore, Singapore"
ntu.edu.sg,Nanyang Technological University,"Singapore, Singapore"
NASA,NASA,"Washington, DC, USA"
cenidet.edu.mx,National Center for Research and Technological Development (CENIDET),"Cuernavaca, Mexico"
National Engineering Research Center for E-Learning,National Engineering Research Center for E-Learning,"Wuhan, China"
NRNU MEPhI,National Research Nuclear University MEPhI,"Moscow, Russia"
nthu.edu.tw,National Tsing Hua University,"Hsinchu, Taiwan"
National University of Sciences and Technology,National University of Sciences and Technology (NUST),"Islamabad, Pakistan"
newcastle,Newcastle University,"Newcastle upon Tyne, England"
Northeastern University,Northeastern University,"Boston, Massachusetts"
neu.edu,Northeastern University,"Boston, Massachusetts"
nwu.edu,Northwestern University,"Evanston, IL, USA"
Odesta Corporation,Odesta Corporation,"Evanston, IL, USA"
Oregon Institute of Technology,Oregon Institute of Technology,"Klamath Falls, Oregon"
orst.edu,Oregon State University,"Corvallis, Oregon"
Osaka,Osaka University,"Osaka, Japan"
peking,Peking University,"Beijing, China"
pku.edu.cn,Peking University,"Beijing, China"
Pennsylvania State University,Pennsylvania State University,"State College, PA, USA"
Penn State,Pennsylvania State University,"State College, PA, USA"
PMAS-Arid,Pir Mehr Ali Shah Arid Agriculture University Rawalpinid,"Rawalpindi, Pakistan"
Polish Academy of Sciences,Polish Academy of Sciences,"Warszawa, Poland"
ukw.edu.pl,Polish Academy of Sciences,"Warszawa, Poland"
Pondicherry,Pondicherry University,"Kalapet, India"
Pontifical Catholic University of Rio de Janeiro,Pontifical Catholic University of Rio de Janeiro,"Rio de Janeiro, Brazil"
PUC-Rio,Pontifical Catholic University of Rio de Janeiro,"Rio de Janeiro, Brazil"
Portland State,Portland State University,"Portland, OR, USA"
Prince Mohammad bin Fahd,Prince Mohammad bin Fahd University,"Al Khobar, Saudi Arabia"
psau.edu.sa,Prince Sattam bin Abdulaziz University,"Al-Kharj, Saudi Arabia"
princeton,Princeton University,"Princeton, NJ, USA"
purdue,Purdue University,"West Lafayette, Indiana"
Qeexo Company,Qeexo Company,"Mountain View, CA, USA"
Rajen Bhatt,Qeexo Company,"Mountain View, CA, USA"
Quinnipiac,Quinnipiac University,"Hamden, Connecticut"
Optenet,R&D Department Optenet,"Madrid, Spain"
Richard Lyman,Richard Lyman,"Los Gatos, CA, USA"
Robert Bosch GmbH,Robert Bosch GmbH,"Gerlingen, Germany"
Robert Gordon,Robert Gordon University,"Aberdeen, UK"
Rochester,Rochester Institute of Technology,"Rochester, NY, USA"
Roma Tre University,Roma Tre University,"Rome, Italy"
RR Donnelley & Sons Co.,RR Donnelley & Sons Co.,"Gallatin, Tennessee"
rutgers,Rutgers University,"New Brunswick, NJ, USA"
lmt.uni-saarland.de,Saarland University,"Saarbrücken, Germany"
Sakarya,Sakarya University,"Sakarya, Turkey"
sfsu.edu,San Francisco State University,"San Francisco, CA, USA"
Selcuk,Selcuk University,"Konya, Turkey"
Semeion,"Semeion, Research Center of Sciences of Communication","Rome, Italy"
Sentient Machine Research,Sentient Machine Research,"Amsterdam, The Netherlands"
SZABIST,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology (SZABIST),"Karachi, Pakistan"
Sharif University of Technology,Sharif University of Technology,"Tehran, Iran"
Sheba Medical Center,Sheba Medical Center,"Ramat Gan, Israel"
Sikkim Manipal,Sikkim Manipal Institute of Technology,"Sikkim, India"
Silesian University of Technology,Silesian University of Technology,"Gliwice, Poland"
sfu.ca,Simon Fraser University,"Burnaby, Canada"
Simon Fraser University,Simon Fraser University,"Burnaby, Canada"
Singapore University of Social Sciences,Singapore University of Social Sciences,"Singapore, Singapore"
suss.edu.sg,Singapore University of Social Sciences,"Singapore, Singapore"
CSIC,Spanish National Research Council,"Girona, Spain"
Stanford,Stanford University,"Stanford, CA, USA"
State University of New York,State University of New York Health Center,"Brooklyn, NY, USA"
su.se,Stockholm University,"Stockholm, Sweden"
Strathclyde,Strathclyde University,"Glasgow, UK"
Tamkang,Tamkang University,"New Taipei City, Taiwan"
Clausthal,Technical University Clausthal,"Clausthal-Zellerfeld, Germany"
Delft,Technical University of Delft,"Delft, Netherlands"
Technological Educational Institute of Epirus,Technological Educational Institute of Epirus,"Epirus, Greece"
tlvmc.gov.il,Tel Aviv Sourasky Medical Center,"Tel Aviv, Israel"
ttu.edu,Texas Tech University,"Lubbock, TX, USA"
Tezpur,Tezpur University,"Assam, India"
The Children's Hospital,The Children's Hospital,"Boston, MA, USA"
The Ohio State,The Ohio State University,"Columbus, OH, USA"
The Open,The Open University,"Milton Keynes, UK"
sachsen-anhalt,The State Museum of Saxony-Anhalt in Halle,"Langenweißbach, Germany"
Patiala,TIET - Thapar Institute of Engineering And Technology,"Patiala, India"
Turing Institute in Glasgow,Turing Institute in Glasgow,"Glasgow, UK"
turing.ac.uk,Turing Institute in Glasgow,"Glasgow, UK"
U.S. Department of Commerce,U.S. Department of Commerce,"Washington, DC, USA"
Ulsan,Ulsan National Institute of Science and Technology (UNIST),"Ulsan, South Korea"
Ulster,Ulster University,"Belfast, Ireland"
Ray. J. Hickey,Ulster University,"Belfast, Ireland"
Autonoma de Madrid,Universidad Autonoma de Madrid,"Madrid, Spain"
uam.es,Universidad Autonoma de Madrid,"Madrid, Spain"
Universidad Católica del Norte,Universidad Católica del Norte,"Antofagasta, Chile"
ucn.cl,Universidad Católica del Norte,"Antofagasta, Chile"
Complutense,Universidad Complutense de Madrid,"Madrid, Spain"
ucm.es,Universidad Complutense de Madrid,"Madrid, Spain"
Extremadura,Universidad de Extremadura,"Badajoz, Spain"
unex.es,Universidad de Extremadura,"Badajoz, Spain"
Universidad Nacional de Educacion a Distancia,Universidad Nacional de Educacion a Distancia,"Madrid, Spain"
Universidad San Francisco de Quito,Universidad San Francisco de Quito,"Quito, Ecuador"
ufam.edu.br,Universidade Federal do Amazonas,"Manaus, Brazil"
Universidade Nova de Lisboa,Universidade Nova de Lisboa,"Monte da Caparica, Portugal"
Nove de Julho,Universidade Nove de Julho,"Sao Paulo, Brazil"
unito.it,Universita di Torino,"Turin, Italy"
Autonoma de Barcelona,Universitat Autonoma de Barcelona,"Barcelona, Spain"
cvc.uab.es,Universitat Autonoma de Barcelona,"Barcelona, Spain"
Hamburg,Universität Hamburg,"Hamburg, Germany"
Jaume I,Universitat Jaume I,"Valencia, Spain"
Oberta de Catalunya,Universitat Oberta de Catalunya,"Barcelona, Spain"
Politecnica de Catalunya,Universitat Politecnica de Catalunya,"Barcelona, Spain"
Universitat Poli,Universitat Politecnica de Catalunya,"Barcelona, Spain"
Studi di Genova,Universite degli Studi di Genova,"Genoa, Italy"
Grenoble Alpes,Université Grenoble Alpes,"Grenoble, France"
ucd.ie,University College Dublin,"Dublin, Ireland"
University College Dublin,University College Dublin,"Dublin, Ireland"
E.Kardelj,University E.Kardelj,"Ljubljana, Slovenia"
Erlangen-Nuremberg,University Erlangen-Nuremberg,"Erlangen, Germany"
"University Hospital, Zurich",University Hospital,"Zurich, Switzerland"
University Hospital Centre of Coimbra,University Hospital Centre of Coimbra,"Coimbra, Portugal"
Alicante,University of Alicante,"Alicante, Spain"
hs-owl.de,"University of Applied Sciences, Ostwestfalen-Lippe","Lemgo, Germany"
University of Badji-Mokhtar,University of Badji-Mokhtar,"Annaba, Algeria"
University of Bari,University of Bari,"Bari, Italy"
University of California Riverside,University of California Riverside,"Riverside, California"
berkeley,"University of California, Berkeley","Berkeley, CA, USA"
Irvine,"University of California, Irvine","Irvine, CA, USA"
uci.edu,"University of California, Irvine","Irvine, CA, USA"
"University of California, Los Angeles","University of California, Los Angeles","Los Angeles, CA, USA"
UCLA,"University of California, Los Angeles","Los Angeles, CA, USA"
San Diego,"University of California, San Diego","San Diego, CA, USA"
ucsd.edu,"University of California, San Diego","San Diego, CA, USA"
University of California at San Deigo,"University of California, San Diego","San Diego, CA, USA"
cam.ac.uk,University of Cambridge,"Cambridge, UK"
cambridge,University of Cambridge,"Cambridge, UK"
cassino,University of Cassino and Southern Lazio,"Cassino, Italy"
Coimbra,University of Coimbra,"Coimbra, Portugal"
colorado.EDU,University of Colorado,"Denver, CO, USA"
University of Colorado at Denver,University of Colorado at Denver,"Denver, CO, USA"
inf.unideb.hu,University of Debrecen,"Debrecen, Hungary"
Dortmund,University of Dortmund,"Dortmund, Germany"
Duisburg-Essen ,University of Duisburg-Essen ,"Essen, Germany"
uni-due.de,University of Duisburg-Essen ,"Essen, Germany"
Edinburgh,University of Edinburgh,"Edinburgh, UK"
ed.ac.uk,University of Edinburgh,"Edinburgh, UK"
University of Engineering and Technology,University of Engineering and Technology,"Lahore, Pakistan"
Essex,University of Essex,"Colchester, England"
genova,University of Genoa,"Genoa, Italy"
Genoa,University of Genoa,"Genoa, Italy"
University of Glasgow,University of Glasgow,"Glasgow, UK"
Granada,University of Granada,"Granada, Spain"
helsinki,University of Helsinki,"Helsinki, Finland"
University of Houston,University of Houston,"Houston, TX, USA"
hud.ac.uk,University of Huddersfield,"Huddersfield, UK"
University of Huddersfield,University of Huddersfield,"Huddersfield, UK"
uiuc.edu,University of Illinois at Urbana,"Urbana, IL, USA"
University of Illinois at Urbana,University of Illinois at Urbana,"Urbana, IL, USA"
illinois.edu,University of Illinois Urbana-Champaign,"Champaign, IL"
urbana,University of Illinois Urbana-Champaign,"Champaign, IL"
uj.edu.sa,University of Jeddah,"Jeddah, Saudi Arabia"
Kansas,University of Kansas,"Kansas City, KS, USA"
Leicester,University of Leicester,"Leicester, UK"
University of Lousiana,University of Lousiana,"Lafayette, Louisiana"
University of Malaga,University of Malaga,"Málaga, Spain"
uma.es,University of Malaga,"Málaga, Spain"
manchester,University of Manchester,"Manchester, England"
manitoba,University of Manitoba,"Winnipeg, Canada"
University of Maryland,University of Maryland,"College Park, Maryland"
umuc.edu,University of Maryland,"College Park, Maryland"
University of Massachusetts,University of Massachusetts,"Amherst, MA, USA"
uom.ac.mu,University of Mauritius,"Moka, Mauritius"
University of Mauritius,University of Mauritius,"Moka, Mauritius"
University of Michigan,University of Michigan,"Ann Arbor, Michigan"
unimib.it,University of Milano,"Milan, Italy"
University of Milano,University of Milano,"Milan, Italy"
Minho,University of Minho,"Minho, Portugal"
miskolc,University of Miskolc,"Miskolc, Hungary"
University of Missouri,University of Missouri,"Columbia, MO, USA"
umons,University of Mons,"Mons, Belgium"
University of Mumbai,University of Mumbai,"Mumbai, India"
New South Wales,University of New South Wales,"Sydney, Australia"
Nottingham,University of Nottingham,"Nottingham, UK"
University of Ontario,University of Ontario,"Oshawa, Ontario"
uoit.ca,University of Ontario,"Oshawa, Ontario"
otago,University of Otago,"Dunedin, New Zealand"
University of Ottawa,University of Ottawa,"Ottawa, Ontario"
Oxford,University of Oxford,"Oxford, UK"
Passau,University of Passau,"Passau, Germany"
University of Pennsylvania,University of Pennsylvania,"Philadelphia, PA, USA"
Pisa,University of Pisa,"Pisa, Italy"
Porto,University of Porto,"Porto, Portugal"
Sannio,University of Sannio,"Benevento, Italy"
University of Sao Paulo,University of São Paulo,"Sao Paulo, Brazil"
University of São Paulo,University of São Paulo,"Sao Paulo, Brazil"
usp.br,University of São Paulo,"Sao Paulo, Brazil"
sc.edu,University of South Carolina,"Columbia, SC, USA"
University of Southern California,University of Southern California,"Los Angeles, CA, USA"
Sulaimania,University of Sulaimania,"Kurdistan, Iraq"
Sydney,University of Sydney,"Sydney, Australia"
su.oz.au,University of Sydney,"Sydney, Australia"
University of Tehran,University of Tehran,"Tehran, Iran"
University of Tennessee,University of Tennessee,"Knoxville, TN, USA"
utexas,University of Texas,"Austin, Texas"
utdallas.edu,University of Texas at Dallas,"Dallas, TX, USA"
University of Torino,University of Torino,"Torino, Italy"
University of Vienna,University of Vienna,"Vienna, Austria"
Aberystwyth,University of Wales Aberystwyth,"Aberystwyth, Wales"
Warwick,University of Warwick,"Coventry, UK"
University of Wisconsin,University of Wisconsin,"Madison, WI, USA"
UW-Madison,University of Wisconsin,"Madison, WI, USA"
stat.wisc.edu,University of Wisconsin,"Madison, WI, USA"
University of Zurich,University of Zurich,"Zurich, Switzerland"
ifi.uzh.ch,University of Zurich,"Zurich, Switzerland"
uunet,UUNET,"Fairfax, VA, USA"
Wadsworth International Group,Wadsworth International Group,"Belmont, CA, USA"
Wadsworth,Wadsworth International Group,"Belmont, CA, USA"
pwr.edu.pl,Warsaw University of Science and Technology,"Warszawa, Poland"
Washington State University,Washington State University,"Pullman, WA"
Washington University,Washington University,"St. Louis, MO, USA"
Western Michigan,Western Michigan University,"Kalamazoo, Michigan"
Wroclaw Medical University,Wroclaw Medical University,"Wroclaw, Poland"
Wroclaw University of Technology,Wroclaw University of Technology,"Wroclaw, Poland"
Xi'an Jiaotong University,Xi'an Jiaotong University,"Xi'an, China"
zema.de,ZeMA gGmbH - Forschungszentrum in Saarbrücken,"Saarbrücken, Germany"
ZymoGenetics,ZymoGenetics Inc.,"Seattle, WA, USA"
zzalpha,ZZAlpha Ltd.,"Tucson, AZ, USA"
